"","Type","Author","Year","Title","Country","Region","Region2","Species.1","Species.2","Species.3","Species.4","Species.5","Species.6","Subthreat.1a","Subthreat.1b","Subthreat.1c","Subthreat.2a","Subthreat.2b","Subthreat.3a","Subthreat.3b","Subthreat.4","Subthreat.5","Threat.1","Threat.2","Threat.3","Threat.4","Threat.5"
"475","SCC","",2007,"Modelling the incidence of fragmentation at different scales in the European Mink Mustela lutreola population and the expansion of the American Mink Mustela vison in Biscay","Spain","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","","","Dams & water management/use","","Housing & urban areas","","","","Invasive & other problematic species, genes & diseases","Natural system modifications","Residential & commercial development","",""
"476","Journal Article","K. Shapiro; M. Miller; J. Mazet",2012,"TEMPORAL ASSOCIATION BETWEEN LAND-BASED RUNOFF EVENTS AND CALIFORNIA SEA OTTER (ENHYDRA LUTRIS NEREIS) PROTOZOAL MORTALITIES","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","Other ecosystem modifications","","","","","","Invasive & other problematic species, genes & diseases","Natural system modifications","","",""
"477","Journal Article","C. Fournier-Chambrillon; J. Torres; J. Miquel; A. Andre; J. Michaux; K. Lemberger; G. G. Carrera; P. Fournier",2018,"Severe parasitism by Versteria mustelae (Gmelin, 1790) in the critically endangered European mink Mustela lutreola (Linnaeus, 1761) in Spain","Spain","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Problematic native species/diseases","","","Dams & water management/use","","","","","","Invasive & other problematic species, genes & diseases","Natural system modifications","","",""
"478","Book Section","R. M. Santymire; T. M. Livieri; H. Branvold-Faber; P. E. Marinari",2014,"The Black-Footed Ferret: On the Brink of Recovery?","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","Invasive & other problematic species, genes & diseases","Other threats","Agriculture & aquaculture","",""
"479","Journal Article","S. M. Wisely; D. B. McDonald; S. W. Buskirk",2003,"Evaluation of the genetic management of the endangered black-footed ferret (Mustela nigripes)","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","Invasive & other problematic species, genes & diseases","Other threats","Agriculture & aquaculture","",""
"480","Journal Article","D. E. Biggins; B. J. Miller; L. R. Hanebury; R. A. Powell",2011,"Mortality of Siberian polecats and black-footed ferrets released onto prairie dog colonies","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","Invasive & other problematic species, genes & diseases","Other threats","Agriculture & aquaculture","",""
"481","Journal Article","D. E. Biggins",2012,"INFORMATION ON BLACK-FOOTED FERRET BIOLOGY COLLECTED WITHIN THE FRAMEWORK OF FERRET CONSERVATION","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","Invasive & other problematic species, genes & diseases","Other threats","Agriculture & aquaculture","",""
"482","Journal Article","B. Miller; R. P. Reading",2012,"CHALLENGES TO BLACK-FOOTED FERRET RECOVERY: PROTECTING PRAIRIE DOGS","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","Invasive & other problematic species, genes & diseases","Other threats","Agriculture & aquaculture","",""
"483","Journal Article","K. M. Brickner; M. B. Grenier; A. E. Crosier; J. N. Pauli",2014,"Foraging plasticity in a highly specialized carnivore, the endangered black-footed ferret","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","","Invasive & other problematic species, genes & diseases","Other threats","Agriculture & aquaculture","",""
"484","Journal Article","C. Kreuder; M. A. Miller; D. A. Jessup; L. J. Lowenstein; M. D. Harris; J. A. Ames; T. E. Carpenter; P. A. Conrad; J. A. K. Mazet",2003,"Patterns of mortality in southern sea otters (Enhydra lutris nereis) from 1998-2001","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","Other threats","","",""
"485","Journal Article","C. K. Johnson; M. T. Tinker; J. A. Estes; P. A. Conrad; M. Staedler; M. A. Miller; D. A. Jessup; J. A. K. Mazet",2009,"Prey choice and habitat use drive sea otter pathogen exposure in a resource-limited coastal system","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","Other threats","","",""
"486","Journal Article","D. S. Jachowski; J. J. Millspaugh; D. E. Biggins; T. M. Livieri; M. R. Matchett; C. D. Rittenhouse",2011,"Resource Selection by Black-Footed Ferrets in South Dakota and Montana","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","Other threats","","",""
"487","Journal Article","K. T. Shoemaker; R. C. Lacy; M. L. Verant; B. W. Brook; T. M. Livieri; P. S. Miller; D. A. Fordham; H. R. Akcakaya",2014,"Effects of prey metapopulation structure on the viability of black-footed ferrets in plague-impacted landscapes: a metamodelling approach","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","Other threats","","",""
"488","Journal Article","T. M. Potter; J. A. Hanna; L. Freer",2007,"Human North American river otter (Lontra canadensis) attack","USA","North America","North America","Lontra canadensis","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","Other threats","","",""
"489","Journal Article","K. Kuker; L. Barrett-Lennard",2010,"A re-evaluation of the role of killer whales Orcinus orca in a population decline of sea otters Enhydra lutris in the Aleutian Islands and a review of alternative hypotheses","USA","North America","North America","Enhydra lutris","","","","","","Problematic native species/diseases","","","Industrial & military effluents","","","","","","Invasive & other problematic species, genes & diseases","Pollution","Invasive & other problematic species, genes & diseases","",""
"490","Book Section","I. Zuberogoitia; J. M. P. de Ana",2014,"Population trends and evolution of the knowledge of European Mustela lutreola (Linnaeus, 1761) and American mink Neovison vison (Schreber, 1777) in Bizkaia","Spain","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","","","Industrial & military effluents","","Dams & water management/use","","","","Invasive & other problematic species, genes & diseases","Pollution","Natural system modifications","",""
"491","SCC","",2002,"Current distribution and status of the European mink (Mustela lutreola L.,1761) in Spain","Spain","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","Introduced genetic material","","Industrial & military effluents","","Roads & railroads","","Dams & water management/use","","Invasive & other problematic species, genes & diseases","Pollution","Transportation & service corridors","Natural system modifications",""
"492","Journal Article","M. W. Gabriel; L. W. Woods; G. M. Wengert; N. Stephenson; J. M. Higley; C. Thompson; S. M. Matthews; R. A. Sweitzer; K. Purcell; R. H. Barrett; S. M. Keller; P. Gaffney; M. Jones; R. Poppenga; J. E. Foley; R. N. Brown; D. L. Clifford; B. N. Sacks",2015,"Patterns of Natural and Human-Caused Mortality Factors of a Rare Forest Carnivore, the Fisher (Pekania pennanti) in California","USA","North America","North America","Pekania pennanti","","","","","","Problematic native species/diseases","","","Agricultural & forestry effluents","","Roads & railroads","","","","Invasive & other problematic species, genes & diseases","Pollution","Transportation & service corridors","",""
"493","Journal Article","R. A. Sweitzer; V. D. Popescu; R. H. Barrett; K. L. Purcell; C. M. Thompson",2015,"Reproduction, abundance, and population growth for a fisher (Pekania pennanti) population in the Sierra National Forest, California","USA","North America","North America","Pekania pennanti","","","","","","Problematic native species/diseases","","","Agricultural & forestry effluents","","Roads & railroads","","","","Invasive & other problematic species, genes & diseases","Pollution","Transportation & service corridors","",""
"494","Journal Article","B. C. Taylor; R. M. Brotheridge; D. A. Jessup; J. L. Stott",2002,"Measurement of serum immunoglobulin concentration in killer whales and sea otters by radial immunodiffusion","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","Industrial & military effluents","","","","","","Invasive & other problematic species, genes & diseases","Pollution","","",""
"495","Journal Article","E. VanWormer; M. A. Miller; P. A. Conrad; M. E. Grigg; D. Rejmanek; T. E. Carpenter; J. A. K. Mazet",2014,"Using Molecular Epidemiology to Track Toxoplasma gondii from Terrestrial Carnivores to Marine Hosts: Implications for Public Health and Conservation","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","Unspecified","","","","","","Invasive & other problematic species, genes & diseases","Residential & commercial development","","",""
"496","Journal Article","S. Palazon; J. C. Cena; J. Ruiz-Olmo; A. Cena; J. Gosalbez; A. Gomez-Gayubo",2003,"Trends in distribution of the European mink (Mustela lutreola L., 1761) in Spain: 1950-1999","Spain","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","","","Roads & railroads","","Industrial & military effluents","","","","Invasive & other problematic species, genes & diseases","Transportation & service corridors","Pollution","",""
"497","Journal Article","R. A. Sweitzer; V. D. Popescu; C. M. Thompson; K. L. Purcell; R. H. Barrett; G. M. Wengert; M. W. Gabriel; L. W. Woods",2016,"Mortality Risks and Limits to Population Growth of Fishers","USA","North America","North America","Pekania pennanti","","","","","","Viral/prion-induced diseases","","","Roads & railroads","","Agricultural & forestry effluents","","","","Invasive & other problematic species, genes & diseases","Transportation & service corridors","Pollution","",""
"498","Journal Article","H. Kruuk; A. Moorhouse; J. W. H. Conroy; L. Durbin; S. Frears",1989,"AN ESTIMATE OF NUMBERS AND HABITAT PREFERENCES OF OTTERS LUTRA-LUTRA IN SHETLAND, UK","United Kingdom","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"499","Journal Article","L. B. Keith; J. R. Cary",1991,"MUSTELID, SQUIRREL, AND PORCUPINE POPULATION TRENDS DURING A SNOWSHOE HARE CYCLE","Canada","North America","North America","Mustela frenata","Mustela erminea","Neovison vison","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"500","Journal Article","E. S. Williams; K. Mills; D. R. Kwiatkowski; E. T. Thorne; A. Boergerfields",1994,"PLAGUE IN A BLACK-FOOTED FERRET (MUSTELA NIGRIPES)","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"501","Journal Article","T. L. Serfass; M. T. Whary; R. L. Peper; R. P. Brooks; T. J. Swimley; W. R. Lawrence; C. E. Rupprecht",1995,"Rabies in a river otter (Lontra canadensis) intended for reintroduction","USA","North America","North America","Lontra canadensis","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"502","Journal Article","V. Sidorovich; H. Kruuk; D. W. Macdonald",1999,"Body size, and interactions between European and American mink (Mustela lutreola and M-vison) in Eastern Europe","Belarus","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"503","Journal Article","T. Lode",1999,"Genetic bottleneck in the threatened western population of European mink Mustela lutreola","France","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"504","Journal Article","V. E. Sidorovich; A. G. Polozov; G. O. Lauzhel; D. A. Krasko",2000,"Dietary overlap among generalist carnivores in relation to the impact of the introduced raccoon dog Nyctereutes procyonoides on native predators in northern Belarus","Belarus","Europe & Central Asia","Europe & Central Asia","Martes martes","Meles meles","Mustela putorius","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"505","Journal Article","D. Wilkinson; G. C. Smith; R. J. Delahay; L. M. Rogers; C. L. Cheeseman; R. S. Clifton-Hadley",2000,"The effects of bovine tuberculosis (Mycobacterium bovis) on mortality in a badger (Meles meles) population in England","United Kingdom","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"506","Journal Article","A. Davison; H. I. Griffiths; R. C. Brookes; T. Maran; D. W. Macdonald; V. E. Sidorovich; A. C. Kitchener; I. Irizar; I. Villate; J. Gonzalez-Esteban; J. C. Cena; A. Cena; I. Moya; S. P. Minano",2000,"Mitochondrial DNA and palaeontological evidence for the origins of endangered European mink, Mustela lutreola","Europe","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Introduced genetic material","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"507","Journal Article","V. Sidorovich; D. W. MacDonald",2001,"Density dynamics and changes in habitat use by the European mink and other native mustelids in connection with the American mink expansion in Belarus","Belarus","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"508","Journal Article","S. Manas; J. C. Cena; J. Ruiz-Olmo; S. Palazon; M. Domingo; J. B. Wolfinbarger; M. E. Bloom",2001,"Aleutian mink disease parvovirus in wild riparian carnivores in Spain","Europe","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"509","Journal Article","N. Yamaguchi; D. W. Macdonald",2001,"Detection of Aleutian disease antibodies in feral American mink in southern England","United Kingdom","Europe & Central Asia","Europe & Central Asia","Lutra lutra","Mustela putorius","Neovison vison","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"510","Journal Article","M. A. Miller; I. A. Gardner; A. Packham; J. K. Mazet; K. D. Hanni; D. Jessup; J. Estes; R. Jameson; E. Dodd; B. C. Barr; L. J. Lowenstine; F. M. Gulland; P. A. Conrad",2002,"Evaluation of an indirect fluorescent antibody test (IFAT) for demonstration of antibodies to Toxoplasma gondii in the sea otter (Enhydra lutris)","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"511","Journal Article","K. D. Lafferty; L. R. Gerber",2002,"Good medicine for conservation biology: The intersection of epidemiology and conservation theory","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"512","Journal Article","D. W. Macdonald; L. A. Harrington",2003,"The American mink: the triumph and tragedy of adaptation out of context","Europe","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"513","Journal Article","R. Burns; E. S. Williams; D. O'Toole; J. P. Dubey",2003,"Toxoplasma gondii infections in captive black-footed ferrets (Mustela nigripes), 1992-1998: Clinical signs, serology, pathology, and prevention","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"514","Journal Article","A. S. Hammer; H. H. Dietz; T. H. Andersen; L. Nielsen; M. Blixenkrone-Moeller",2004,"Distemper virus as a cause of central nervous disease and death in badgers (Meles meles) in Denmark","Denmark","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"515","Journal Article","C. Fournier-Chambrillon; B. Aasted; A. Perrot; D. Pontier; F. Sauvage; M. Artois; J. M. Cassiede; X. Chauby; A. Dal Molin; C. Simon; P. Fournier",2004,"Antibodies to aleutian mink disease parvovirus in free-ranging European mink (Mustela lutreola) and other small carnivores from Southwestern France","France","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"516","Journal Article","G. Suzan; G. Ceballos",2005,"The role of feral mammals on wildlife infectious disease prevalence in two nature reserves within Mexico City limits","Mexico","Latin America & Caribbean","Latin America","Mustela frenata","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"517","Journal Article","T. Lode; G. Guiral; D. Peltier",2005,"European mink-polecat hybridization events: Hazards from natural process?","Europe","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","Mustela putorius","","","","","Introduced genetic material","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"518","Journal Article","P. A. Conrad; M. A. Miller; C. Kreuder; E. R. James; J. Mazet; H. Dabritz; D. A. Jessup; F. Gulland; M. E. Grigg",2005,"Transmission of Toxoplasma: Clues from the study of sea otters as sentinels of Toxoplasma gondii flow into the marine environment","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"519","Journal Article","J. Schwartz; B. Aldridge; M. Blanchard; F. C. Mohr; J. Stott",2005,"The development of methods for immunophenotypic and lymphocyte function analyzes for assessment of Southern sea otter (Enhydra lutris nereis) health","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"520","Journal Article","J. R. Crait; M. Ben-David",2006,"River otters in Yellowstone Lake depend on a declining cutthroat trout population","USA","North America","North America","Lontra canadensis","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"521","Journal Article","V. E. Sidorovich; I. A. Solovej",2007,"The stoat Mustela erminea population decline in northern Belarus and its consequences for weasels Mustela nivalis","Belarus","Europe & Central Asia","Europe & Central Asia","Mustela erminea","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"522","Journal Article","L. Bonesi; S. Palazon",2007,"The American mink in Europe: Status, impacts, and control","Europe","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"523","Journal Article","J. Bowman; A. G. Kidd; R. M. Gorman; A. I. Schulte-Hostedde",2007,"Assessing the potential for impacts by feral mink on wild mink in Canada","Canada","North America","North America","Neovison vison","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"524","Journal Article","N. J. Thomas; J. P. Dubey; D. S. Lindsay; R. A. Cole; C. U. Meteyer",2007,"Protozoal meningoencephalitis in sea otters (Enhydra lutris): a histopathological and immunohistochemical study of naturally occurring cases","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"525","Journal Article","J. K. Gaydos; P. A. Conrad; K. V. K. Gilardi; G. M. Blundell; M. Ben-David",2007,"Does human proximity affect antibody prevalence in marine-foraging river otters (Lontra canadensis)?","USA","North America","North America","Lontra canadensis","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"526","Journal Article","V. E. Sidorovich; A. A. Sidorovich; V. V. Ivanovskij; M. M. Pikulik; E. P. Shinkevich",2008,"The structure of vertebrate predator community in north-eastern Belarus before and after naturalization of the American mink and raccoon dog","Belarus","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","Mustela putorius","Mustela erminea","Meles meles","Martes martes","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"527","Journal Article","J. Torres; J. Miquel; P. Fournier; C. Fournier-Chambrillon; M. Liberge; R. Fons; C. Feliu",2008,"Helminth communities of the autochthonous mustelids Mustela lutreola and M. putorius and the introduced Neovison vison in south-western France","France","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","Mustela putorius","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"528","Journal Article","J. Philippa; C. Fournier-Chambrillon; P. Fournier; W. Schaftenaar; M. van de Bildt; R. van Herweijnen; T. Kuiken; M. Liabeuf; S. Ditcharry; L. Joubert; M. Begnier; A. Osterhaus",2008,"SEROLOGIC SURVEY FOR SELECTED VIRAL PATHOGENS IN FREE-RANGING ENDANGERED EUROPEAN MINK (MUSTELA LUTREOLA) AND OTHER MUSTELIDS FROM SOUTH-WESTERN FRANCE","France","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"529","Journal Article","S. M. Wisely; J. Howard; S. A. Williams; O. Bain; R. M. Santymire; K. D. Bardsley; E. S. Williams",2008,"An unidentified filarial species and its impact on fitness in wild populations of the black-footed ferret (Mustela nigripes)","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"530","Journal Article","A. G. Kidd; J. Bowman; D. Lesbarreres; A. I. Schulte-Hostedde",2009,"Hybridization between escaped domestic and wild American mink (Neovison vison)","Canada","North America","North America","Neovison vison","","","","","","Invasive non-native/alien species/diseases","Introduced genetic material","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"531","Journal Article","M. W. Cunningham; D. B. Shindle; A. B. Allison; S. P. Terrell; D. G. Mead; M. Owen",2009,"Canine Distemper Epizootic in Everglades Mink","USA","North America","North America","Neovison vison","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"532","Journal Article","M. A. Miller; B. C. Barr; R. Nordhausen; E. R. James; S. L. Magargal; M. Murray; P. A. Conrad; S. Toy-Choutka; D. A. Jessup; M. E. Grigg",2009,"Ultrastructural and molecular confirmation of the development of Sarcocystis neurona tissue cysts in the central nervous system of southern sea otters (Enhydra lutris nereis)","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"533","Journal Article","S. Larson; D. Monson; B. Ballachey; R. Jameson; S. K. Wasser",2009,"Stress-related hormones and genetic diversity in sea otters (Enhydra lutris)","USA / Canada","North America","North America","Enhydra lutris","","","","","","Other","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"534","Journal Article","L. Fasola; C. Chehebar; D. W. Macdonald; G. Porro; M. H. Cassini",2009,"Do alien North American mink compete for resources with native South American river otter in Argentinean Patagonia?","Argentina","Latin America & Caribbean","Latin America","Lontra provocax","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"535","Journal Article","E. Sherrard-Smith; J. Cable; E. A. Chadwick",2009,"Distribution of Eurasian otter biliary parasites, Pseudamphistomum truncatum and Metorchis albidus (Family Opisthorchiidae), in England and Wales","United Kingdom","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"536","Journal Article","V. R. Simpson; A. J. Tomlinson; F. M. Molenaar",2009,"Prevalence, distribution and pathological significance of the bile fluke Pseudamphistomum truncatum in Eurasian otters (Lutra lutra) in Great Britain","United Kingdom","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"537","Journal Article","M. L. Meli; P. Simmler; V. Cattori; F. Martinez; A. Vargas; F. Palomares; J. V. Lopez-Bao; M. A. Simon; G. Lopez; L. Leon-Vizcaino; R. Hofmann-Lehmann; H. Lutz",2010,"Importance of canine distemper virus (CDV) infection in free-ranging Iberian lynxes (Lynx pardinus)","Spain","Europe & Central Asia","Europe & Central Asia","Martes foina","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"538","Journal Article","E. Dandar; L. Szabo; M. Heltai; A. Doszpoly",2010,"PCR screening of mammalian predators (Carnivora) for adenoviruses and herpesviruses: the first detection of a mustelid herpesvirus in Hungary","Hungary","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"539","Journal Article","B. Torracca; F. Macchioni; M. Masetti; S. Gabrielli; L. Guardone; M. C. Prati; M. Magi",2010,"FIRST RECOVERY OF BIRD ACANTHOCEPHALAN SPHAERIROSTRIS LANCEOIDES IN AN EURASIAN BADGER (MELES MELES) IN ITALY","Italy","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"540","Journal Article","M. Moinet; C. Fournier-Chambrillon; G. Andre-Fontaine; S. Aulagnier; A. Mesplede; B. Blanchard; V. Descarsin; P. Dumas; Y. Dumas; C. Coic; L. Couzi; P. Fournier",2010,"LEPTOSPIROSIS IN FREE-RANGING ENDANGERED EUROPEAN MINK (MUSTELA LUTREOLA) AND OTHER SMALL CARNIVORES (MUSTELIDAE, VIVERRIDAE) FROM SOUTHWESTERN FRANCE","France","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"541","Journal Article","M. R. Matchett; D. E. Biggins; V. Carlson; B. Powell; T. Rocke",2010,"Enzootic Plague Reduces Black-Footed Ferret (Mustela nigripes) Survival in Montana","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"542","Journal Article","M. A. Miller; B. A. Byrne; S. S. Jang; E. M. Dodd; E. Dorfmeier; M. D. Harris; J. Ames; D. Paradies; K. Worcester; D. A. Jessup; W. A. Miller",2010,"Enteric bacterial pathogen detection in southern sea otters (Enhydra lutris nereis) is associated with coastal urbanization and freshwater runoff","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"543","Journal Article","J. M. Wendte; M. A. Miller; A. K. Nandra; S. M. Peat; P. R. Crosbie; P. A. Conrad; M. E. Grigg",2010,"Limited genetic diversity among Sarcocystis neurona strains infecting southern sea otters precludes distinction between marine and terrestrial isolates","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"544","Journal Article","M. A. Miller; P. A. Conrad; M. Harris; B. Hatfield; G. Langlois; D. A. Jessup; S. L. Magargal; A. E. Packham; S. Toy-Choutka; A. C. Melli; M. A. Murray; F. M. Gulland; M. E. Grigg",2010,"A protozoal-associated epizootic impacting marine wildlife: Mass-mortality of southern sea otters (Enhydra lutris nereis) due to Sarcocystis neurona infection","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"545","Journal Article","D. Rejmanek; M. A. Miller; M. E. Grigg; P. R. Crosbie; P. A. Conrad",2010,"Molecular characterization of Sarcocystis neurona strains from opossums (Didelphis virginiana) and intermediate hosts from Central California","USA / Canada","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"546","Journal Article","J. L. Larkin; M. Gabriel; R. W. Gerhold; M. J. Yabsley; J. C. Wester; J. G. Humphreys; R. Beckstead; J. P. Dubey",2011,"PREVALENCE TO TOXOPLASMA GONDII AND SARCOCYSTIS SPP. IN A REINTRODUCED FISHER (Pekania pennanti) POPULATION IN PENNSYLVANIA","USA","North America","North America","Pekania pennanti","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
